Type,Prompt,Correct Answer,Choices
mcq,"What is ""Movement 2""?","The second movement of Handel’s Op. 6, No. 5 is an Allegro.","The use of dense layering in the expanded Romantic or
  modern symphony orchestra, resulting in a full, rich texture. | Sounds falling on the second quaver of the beat,
  frequently layered into EDM tracks to increase momentum over the
 ... | A complex, thick texture resulting from the layering of many instrumental parts, common in the expanded Romantic orch... | The second movement of Handel’s Op. 6, No. 5 is an Allegro."
mcq,"Which term means: ""The second movement of Handel’s Op. 6, No. 5 is an Allegro.""?","Movement 2","vibhags | Movement 2 | expansion of the orchestra | mouth organs"
mcq,"What is ""Movement 4""?","The fourth movement of Handel’s Op. 6, No. 5
  famously ends with a Phrygian cadence.","A structure (often called verse form) where the musical
  setting repeats for every verse (strophe) of text, commonly... | A choral work by Jonathan Dove, suggested as a starting
  point to exemplify complex textures, antiphony, and polyrhy... | The fourth movement of Handel’s Op. 6, No. 5
  famously ends with a Phrygian cadence. | The central foundational rhythm of a genre, such as the clavé
  in Salsa."
mcq,"Which term means: ""The fourth movement of Handel’s Op. 6, No. 5
  famously ends with a Phrygian cadence.""?","Movement 4","Movement 4 | simple harmonic progressions | performance | samples"
mcq,"What is ""Movement 6""?","The sixth movement of Handel’s Op. 6, No. 5 is the Menuet,
  which demonstrates terraced dynamics and is in triple time.","Refers to music where dynamic changes (crescendo/diminuendo)
  are explicitly marked by the composer, enabled by the ... | Sounds generated electronically, characteristic of EDM and
  Game Music, contrasted with acoustic timbres. | The sixth movement of Handel’s Op. 6, No. 5 is the Menuet,
  which demonstrates terraced dynamics and is in triple time. | The compositional technique of altering a theme (e.g., a leitmotif)
  through changes in rhythm, harmony, or register..."
mcq,"Which term means: ""The sixth movement of Handel’s Op. 6, No. 5 is the Menuet,
  which demonstrates terraced dynamics and is in triple time.""?","Movement 6","melancholy mood | Musicology | Movement 6 | jhālā"
mcq,"What is ""Mozart Symphony No. 40""?","Cited as a further listening example for studying sonata
  form.","Cited as a further listening example for studying sonata
  form. | A sustained or repeated note played on the fifth degree of the scale, used as a harmonic anchor, often to build tensi... | Beats other than the main beats of the bar. Syncopation
  involves accents falling on off-beats. The anticipated bass... | The traditional ensemble used for performing Tango music,
  typically composed of strings, piano, double bass, and th..."
mcq,"Which term means: ""Cited as a further listening example for studying sonata
  form.""?","Mozart Symphony No. 40","chord inversions | pitch range | Mozart Symphony No. 40 | glissando"
mcq,"What is ""*Mozart’s Quintet for piano and winds in E flat major""?","Part of the formal title for the focus work of Classical
  music (AOS 2).","Abbreviation for mezzo forte. | Part of the formal title for the focus work of Classical
  music (AOS 2). | Methods used for recording music, ranging from standard
  staff notation to non-Western methods like cipher notation. | The highest standard female vocal classification."
mcq,"Which term means: ""Part of the formal title for the focus work of Classical
  music (AOS 2).""?","*Mozart’s Quintet for piano and winds in E flat major","primary chords | IVb–V | *Mozart’s Quintet for piano and winds in E flat major | pipa"
mcq,"What is ""Mozart's Quintet for piano and winds in E flat major""?","The prescribed Focus Work for Area of Study 2 (Classical
  Music). It exemplifies chamber music (one player per part)...","The prescribed Focus Work for Area of Study 2 (Classical
  Music). It exemplifies chamber music (one player per part)... | An articulation, generally referring to legato
  playing, often used to describe the lyrical style of Tango melodies. | The emotional or narrative intensity conveyed by the music. | Explicit definition of homophonic texture."
mcq,"Which term means: ""The prescribed Focus Work for Area of Study 2 (Classical
  Music). It exemplifies chamber music (one player per part) and sonata form.""?","Mozart's Quintet for piano and winds in E flat major","phrases repeated at the singer's own tempo | Duplicates sound | Mozart's Quintet for piano and winds in E flat major | single"
mcq,"What is ""mp""?","Mezzo piano, a standard dynamic marking, included
  in the full dynamic range candidates must recognize.","A specific section featuring one instrument, often
  improvised, such as the taqsim in Arab Takht Ensembles. | The characteristic slow, formal opening of a French Overture, featuring dotted rhythms. | The core musical element concerning the underlying pulse and time signature that organizes rhythmic patterns. | Mezzo piano, a standard dynamic marking, included
  in the full dynamic range candidates must recognize."
mcq,"Which term means: ""Mezzo piano, a standard dynamic marking, included
  in the full dynamic range candidates must recognize.""?","mp","p | mp | simple and compound time | concertino"
mcq,"What is ""multi-tracking""?","A studio production technique where separate audio tracks
  are captured synchronously, allowing tracks to be process...","See Programmatic music. The Focus Work Vltava
  (Romantic) is an example of this. | The characteristic tone or color (Timbre) of voices
  and instruments. | A studio production technique where separate audio tracks
  are captured synchronously, allowing tracks to be process... | A homophonic texture typically involving four voices (SATB) moving rhythmically together, supporting a clear melodic ..."
mcq,"Which term means: ""A studio production technique where separate audio tracks
  are captured synchronously, allowing tracks to be processed independently,
  creating d...""?","multi-tracking","unaccompanied line | K. 452 | driving rhythms | multi-tracking"
mcq,"What is ""Multi-tracking/Overdubbing""?","Production methods used for layering separate audio tracks
  to achieve density and fullness, integral to genres like...","The fundamental artistic ideals of the Classical period, prioritizing order, balance, and formal clarity. | Non-Western small ensemble music (Sizhu) from China,
  defined by its use of strings (silk) and winds (bamboo) and ch... | Production methods used for layering separate audio tracks
  to achieve density and fullness, integral to genres like... | Melodic movement using stepwise movement (conjunct
  motion, like a scale)."
mcq,"Which term means: ""Production methods used for layering separate audio tracks
  to achieve density and fullness, integral to genres like popular song, EDM,
  and film...""?","Multi-tracking/Overdubbing","Multi-tracking/Overdubbing | single tonal centre | Schubert | vibhags"
mcq,"What is ""multiple simultaneous independent rhythms""?","A definition for the rhythmic technique of polyrhythm.","A definition for the rhythmic technique of polyrhythm. | The quality of logical, balanced organization and clarity,
  prioritized in the Classical period. | The highest standard female vocal classification. | The pair of drums used in Hindustani classical music."
mcq,"Which term means: ""A definition for the rhythmic technique of polyrhythm.""?","multiple simultaneous independent rhythms","dance type | military marches | multiple simultaneous independent rhythms | stepwise movement"
mcq,"What is ""music for choirs""?","One of the four genres mandated for study in Area of Study
  4: Music and Words. Choral pieces often exploit complex ...","The simultaneous use of multiple independent rhythms,
  utilized for complexity and excitement, found in Romantic orc... | One of the four genres mandated for study in Area of Study
  4: Music and Words. Choral pieces often exploit complex ... | The process of manipulating, transforming, or expanding an existing musical idea. | A structure (often called verse form) where the musical
  setting repeats for every verse (strophe) of text, commonly..."
mcq,"Which term means: ""One of the four genres mandated for study in Area of Study
  4: Music and Words. Choral pieces often exploit complex textures like
  polyphony, can...""?","music for choirs","music for choirs | Ma Vlast | semiquaver | whole-tone scale"
mcq,"What is ""music production technology""?","The specific tools (e.g., synthesizers, DAWs, reverb,
  delay) used to shape and generate sound in modern music genre...","The specific tools (e.g., synthesizers, DAWs, reverb,
  delay) used to shape and generate sound in modern music genre... | A section or role for one performer, contrasting with the
  full ensemble (tutti or ripieno), such as the soloist in ... | The unique sound quality or color of instruments. | The complex vertical sound created when multiple performers play variations of the same melody simultaneously, result..."
mcq,"Which term means: ""The specific tools (e.g., synthesizers, DAWs, reverb,
  delay) used to shape and generate sound in modern music genres, defining the
  soundscape o...""?","music production technology","tonic major and minor | musical conventions | Musicology | music production technology"
mcq,"What is ""musical conventions""?","Refers to the established performance practices,
  particularly in the Baroque era, where dynamics were often underst...","Refers to a type of cadence, Perfect (V-I),
  frequently used to punctuate phrases and define structural endings. | A general term for techniques that manipulate pulse or
  accent, such as Hemiola. | Rhythmic and metrical patterns often used in dramatic scores. | Refers to the established performance practices,
  particularly in the Baroque era, where dynamics were often underst..."
mcq,"Which term means: ""Refers to the established performance practices,
  particularly in the Baroque era, where dynamics were often understood
  implicitly, leading to t...""?","musical conventions","Ravi Shankar | duple | second subject | musical conventions"
mcq,"What is ""musical dialogue""?","The sophisticated exchange of thematic and accompanying
  roles between instruments, central to the performance of ch...","The speed of dance music, typically consistent and referred to in BPM. | See unaccompanied line. | The sophisticated exchange of thematic and accompanying
  roles between instruments, central to the performance of ch... | Alterations in dynamics or tempo (e.g., crescendo, rubato) employed specifically to convey emotional effect."
mcq,"Which term means: ""The sophisticated exchange of thematic and accompanying
  roles between instruments, central to the performance of chamber music.""?","musical dialogue","orchestral writing | modal frameworks | musical dialogue | chromatic harmony"
mcq,"What is ""musical features""?","The characteristic elements (rhythm, melody, harmony,
  etc.) that candidates must analyze in musical extracts.","The characteristic elements (rhythm, melody, harmony,
  etc.) that candidates must analyze in musical extracts. | A visual effect used in the staging of Musicals and
  ballet. | A note value; sixteenth note. | An abbreviation for pizzicato."
mcq,"Which term means: ""The characteristic elements (rhythm, melody, harmony,
  etc.) that candidates must analyze in musical extracts.""?","musical features","Stravinsky’s Symphony of Psalms | Sizhu | Rap | musical features"
mcq,"What is ""musical identity""?","The characteristic linear sequence of pitches (melody)
  forms the musical identity. Identity can also be shaped by n...","Refers to the use of Multi-tracking or Overdubbing
  in music production. | Core characteristics that explicitly define a musical period or style. | A key composer of the Romantic period, known for his
  expansive orchestral works. | The characteristic linear sequence of pitches (melody)
  forms the musical identity. Identity can also be shaped by n..."
mcq,"Which term means: ""The characteristic linear sequence of pitches (melody)
  forms the musical identity. Identity can also be shaped by national or
  cultural origin, ...""?","musical identity","vocal improvisation | musical identity | Mozart Symphony No. 40 | dominant pedal"
mcq,"What is ""musical mood""?","In the Baroque era, the Doctrine of Affection dictated
  that a single emotional mood (or feeling) should persist thr...","Cited as an example for sonata form analysis, specifically]. | A highly unstable and ambiguous chord built on stacked minor thirds, used extensively in Romantic and film music to c... | Minor changes in pitch, often utilized in modern
  production techniques. | In the Baroque era, the Doctrine of Affection dictated
  that a single emotional mood (or feeling) should persist thr..."
mcq,"Which term means: ""In the Baroque era, the Doctrine of Affection dictated
  that a single emotional mood (or feeling) should persist throughout an entire
  movement.""?","musical mood","vocal delivery | horns in E flat | structural | musical mood"
mcq,"What is ""Musicology""?","The area of specialized academic expertise leveraged in
  the creation of the curriculum analysis documents.","The concluding section of a popular song structure,
  mandatory terminology for AOS 4 and 7. | Percussion instruments essential to the rhythmic core of
  Salsa music. | The area of specialized academic expertise leveraged in
  the creation of the curriculum analysis documents. | A structure consisting of three main sections, often
  contrasting, where the first section returns (ABA)."
mcq,"Which term means: ""The area of specialized academic expertise leveraged in
  the creation of the curriculum analysis documents.""?","Musicology","voices | pitch range | scalic | Musicology"
mcq,"What is ""mute""?","An instrumental device used on brass or strings to soften
  or alter the timbre.","A type of folk tune, specifically the Shaker hymn Simple
  Gifts, incorporated by Aaron Copland into his American nat... | An instrumental device used on brass or strings to soften
  or alter the timbre. | Musical styles that incorporate elements of Jazz, such as syncopation or improvisation. | A lively American folk dance, part of Copland's ballet Rodeo, used to celebrate a lively atmosphere."
mcq,"Which term means: ""An instrumental device used on brass or strings to soften
  or alter the timbre.""?","mute","Pentatonic | mute | sudden release | dynamic range"
mcq,"What is ""muted strings""?","Strings played using a mute, typically for atmospheric,
  distant, or veiled effects.","Strings played using a mute, typically for atmospheric,
  distant, or veiled effects. | Used in the context of intervals, such as perfect
  intervals. | An electronic device used to sequence and trigger drum and percussion sounds, reliably providing the precise rhythmic... | A large-scale orchestral work."
mcq,"Which term means: ""Strings played using a mute, typically for atmospheric,
  distant, or veiled effects.""?","muted strings","Dynamics | muted strings | consequent | electronic sounds"
mcq,"What is ""Mutes (con sordini)""?","The specific Italian terminology required for mutes, used
  on brass or string instruments.","The specific Italian terminology required for mutes, used
  on brass or string instruments. | Abbreviation for mezzo piano. | The defining dynamic feature of the Baroque period (c.
  1600–1750), characterized by sudden, abrupt changes from lou... | A definition for the rhythmic technique of polyrhythm."
mcq,"Which term means: ""The specific Italian terminology required for mutes, used
  on brass or string instruments.""?","Mutes (con sordini)","Sam | Mutes (con sordini) | simple harmonic progressions | Dominant"
mcq,"What is ""Mutes (Con Sordini)""?","The precise Italian terminology required for mutes, used
  to soften or veil the sound, as utilized by Smetana in Vlt...","A type of percussion instrument used to create syncopated
  percussion in EDM. | The precise Italian terminology required for mutes, used
  to soften or veil the sound, as utilized by Smetana in Vlt... | A type of melodic movement characterized by a drop in pitch. | The single performer featured in a solo concerto, or one
  of the small group of performers in a concerto grosso (con..."
mcq,"Which term means: ""The precise Italian terminology required for mutes, used
  to soften or veil the sound, as utilized by Smetana in Vltava.""?","Mutes (Con Sordini)","Mutes (Con Sordini) | minor instances | Instrumentation Core | Classical aesthetic"
mcq,"What is ""Mvt. 1""?","Abbreviation for Movement 1.","Part of the formal title for the focus work of Classical
  music (AOS 2). | A texture where several independent melodic lines are intricately woven together; synonymous with polyphonic. | A traditional musician group in the Hindustani tradition who performed for joyous occasions and celebrations (mangal). | Abbreviation for Movement 1."
mcq,"Which term means: ""Abbreviation for Movement 1.""?","Mvt. 1","montuno pattern | written commentary | Mvt. 1 | rapid bowing"
mcq,"What is ""Mvt. 2""?","Abbreviation for Movement 2.","A structure (often called verse form) where the musical
  setting repeats for every verse (strophe) of text, commonly... | Abbreviation for Movement 2. | Brass instruments, typically added in the Romantic era
  (three trombones) due to the expansion of the orchestra, use... | Adjective describing the characteristic traits, features,
  or conventions of a musical era or genre."
mcq,"Which term means: ""Abbreviation for Movement 2.""?","Mvt. 2","rhythmic intensity | YouTube | Mvt. 2 | improvisatory sections"
mcq,"What is ""narrative association""?","The primary function of the melody (leitmotif) in Music
  for Stage and Screen, linking musical themes to specific ch...","An Italian dynamic marking meaning gradually getting quieter; synonymous with decrescendo. | A strong, conclusive cadence moving from the Dominant (V)
  to the Tonic (I). | Abbreviation for Opus 15, part of the title of Beethoven's
  Piano Concerto No. 1 in C. | The primary function of the melody (leitmotif) in Music
  for Stage and Screen, linking musical themes to specific ch..."
mcq,"Which term means: ""The primary function of the melody (leitmotif) in Music
  for Stage and Screen, linking musical themes to specific characters or events
  in the st...""?","narrative association","ostinato | M“nganiy”rs | narrative association | Core Musical Elements"
mcq,"What is ""narrative effectiveness""?","The degree to which music successfully enhances the plot,
  drama, or visual action of a scene.","Cited as the first full-length film to use synchronized sound (though only for the score, not dialogue). | A short concluding phrase for a section, such as the final bars of the Exposition in sonata form. | The unique sound quality or color of instruments. | The degree to which music successfully enhances the plot,
  drama, or visual action of a scene."
mcq,"Which term means: ""The degree to which music successfully enhances the plot,
  drama, or visual action of a scene.""?","narrative effectiveness","primary | compound time signature | sforzando | narrative effectiveness"
mcq,"What is ""Nationalism""?","A key social and political movement of the Romantic era,
  focusing on the expression of a distinct national identity...","A key social and political movement of the Romantic era,
  focusing on the expression of a distinct national identity... | The lowest woodwind instrument, added during the Romantic expansion of the orchestra. | The overall shape, organization, or plan of a musical
  work, essential to all analytical areas. | A renowned performer suggested as an example for listening
  to Hindustani classical music, specifically Rāga khamāj."
mcq,"Which term means: ""A key social and political movement of the Romantic era,
  focusing on the expression of a distinct national identity by incorporating
  folk melod...""?","Nationalism","Nationalism | dense scoring | harpsichord continuo | lyricism"
mcq,"What is ""nationalist music""?","Music composed to reflect and express a distinct national
  identity, often utilizing folk rhythms and melodies, as s...","The section in Sonata Form between the First and
  Second Subjects, whose specific function is to modulate from the t... | The degree to which music successfully enhances the plot,
  drama, or visual action of a scene. | Music composed to reflect and express a distinct national
  identity, often utilizing folk rhythms and melodies, as s... | The most critical structural form of the Classical era,
  typically used for first movements, divided into Exposition..."
mcq,"Which term means: ""Music composed to reflect and express a distinct national
  identity, often utilizing folk rhythms and melodies, as seen in Smetana’s
  work.""?","nationalist music","*Mozart’s Quintet for piano and winds in E flat major | pizz. | nationalist music | sītār"
mcq,"What is ""neumes""?","An ancient notation system for music, distinct from
  Western staff notation, figured bass, or cipher notation.","A Baroque composer whose death in 1750 marks the widely accepted end of the Baroque period. | Refers to a type of cadence, Perfect (V-I),
  frequently used to punctuate phrases and define structural endings. | A rich vocal grouping (SSAATTBB) often employed in complex contemporary choral works. | An ancient notation system for music, distinct from
  Western staff notation, figured bass, or cipher notation."
mcq,"Which term means: ""An ancient notation system for music, distinct from
  Western staff notation, figured bass, or cipher notation.""?","neumes","cipher notation | solo improvisatory sections | neumes | melody supported by harmony/accompaniment"
mcq,"What is ""Niccolò Paganini""?","A key composer and performer associated with the Romantic
  period, known for his instrumental virtuosity.","A collective term for instrumental music performed by a
  small group, such as Chamber Music or Baroque ensembles. | A key composer and performer associated with the Romantic
  period, known for his instrumental virtuosity. | A starting point (non-prescribed set work) for studying
  Computer Game Music, demonstrating the blend of orchestral ... | The highest standard male vocal classification."
mcq,"Which term means: ""A key composer and performer associated with the Romantic
  period, known for his instrumental virtuosity.""?","Niccolò Paganini","Niccolò Paganini | Ternary Form (ABA) | recurring fragments | Richard Wagner"
mcq,"What is ""night sky""?","An example of a quiet scene that might be evoked using pianissimo
  dynamics in an art song.","Minor changes in pitch, often utilized in modern
  production techniques. | Woodwind instruments, included in the Baroque/Classical orchestra, and essential to the Silk and Bamboo ensemble (diz... | An example of a quiet scene that might be evoked using pianissimo
  dynamics in an art song. | Abbreviation for Movement 1."
mcq,"Which term means: ""An example of a quiet scene that might be evoked using pianissimo
  dynamics in an art song.""?","night sky","major key passages | night sky | theme and variations | kettle drums"
mcq,"What is ""No. 5""?","Designation for Handel's Concerto Grosso in D major Op.
  6, No. 5.","A rhythmic grouping often found in the second part of the habanera
  rhythm (dotted quaver, semiquaver, and two quave... | Thin metal strips embedded in the fingerboard of string instruments (like the pipa or guitar). | Designation for Handel's Concerto Grosso in D major Op.
  6, No. 5. | The sophisticated exchange of thematic and accompanying
  roles between instruments, central to the performance of ch..."
mcq,"Which term means: ""Designation for Handel's Concerto Grosso in D major Op.
  6, No. 5.""?","No. 5","No. 5 | heptatonic | strong beat | Moog"
mcq,"What is ""No. 5*""?","Designation for Handel's Concerto Grosso in D major Op.
  6, No. 5.","The spontaneous creation of rhythmic patterns, often
  performed by the tablā player against the strict tāla (time
  ... | Designation for Handel's Concerto Grosso in D major Op.
  6, No. 5. | Ornamentation or decorative additions to a melodic line. | A focus genre in Area of Study 7, characterized by the use of loops, ostinatos, electronic sounds, and adaptive music..."
mcq,"Which term means: ""Designation for Handel's Concerto Grosso in D major Op.
  6, No. 5.""?","No. 5*","phrase construction | tonic | primary triads | No. 5*"
mcq,"What is ""North Africa""?","A region cited as part of the widespread geographic
  diffusion of Arab takht ensemble structure, alongside Turkey, E...","A region cited as part of the widespread geographic
  diffusion of Arab takht ensemble structure, alongside Turkey, E... | Brass instruments, typically added in the Romantic era
  (three trombones) due to the expansion of the orchestra, use... | The recurring orchestral theme played by the full ensemble
  (ripieno or tutti) that alternates with solo episodes in... | The strong first beat of a measure. The anticipated bass pattern in Salsa is characterized by avoiding the downbeats."
mcq,"Which term means: ""A region cited as part of the widespread geographic
  diffusion of Arab takht ensemble structure, alongside Turkey, Egypt,
  and the Arab peninsula.""?","North Africa","exposition | Richard Wagner | North Africa | rhythmic intensity"
mcq,"What is ""notation systems""?","Methods used for recording music, ranging from standard
  staff notation to non-Western methods like cipher notation.","Methods used for recording music, ranging from standard
  staff notation to non-Western methods like cipher notation. | A chamber music ensemble consisting of piano, violin,
  and cello. | Designation for Handel's Concerto Grosso in D major Op.
  6, No. 5. | The strings section (violins, violas, cellos, double
  basses) that forms the core of the Baroque and later orchestras."
mcq,"Which term means: ""Methods used for recording music, ranging from standard
  staff notation to non-Western methods like cipher notation.""?","notation systems","quadruple | horns in E flat | notation systems | MIDI"
mcq,"What is ""note values""?","The specific rhythmic durations used in music (e.g.,
  semiquavers, dotted rhythms). Composers utilize a wide range, ...","The defining structural principle of the Baroque concerto,
  based on the alternation of the recurring orchestral rit... | The specific rhythmic durations used in music (e.g.,
  semiquavers, dotted rhythms). Composers utilize a wide range, ... | Refers to music (like Salsa) that relies heavily on one
  key/tonality, often using simple harmonic progressions. | The 3:2 pattern of the son clavé, a fundamental rhythmic pattern in Salsa music."
mcq,"Which term means: ""The specific rhythmic durations used in music (e.g.,
  semiquavers, dotted rhythms). Composers utilize a wide range, from sustained
  notes down to...""?","note values","note values | music for choirs | Richard Wagner | instrumental"
mcq,"What is ""numbers 1–7""?","Refers to the use of numbers 1–7 to represent scale
  degrees in notation systems like cipher notation, commonly used...","Refers to music that is consonant or harmonically
  resolved, generally lacking tension. | Refers to the use of numbers 1–7 to represent scale
  degrees in notation systems like cipher notation, commonly used... | A complex, thick texture resulting from the layering of many instrumental parts, common in the expanded Romantic orch... | The main tonic pitch around which a piece is tonally organized. 47 drum:** The bass drum, which plays the steady beat..."
mcq,"Which term means: ""Refers to the use of numbers 1–7 to represent scale
  degrees in notation systems like cipher notation, commonly used for
  pentatonic melodies.""?","numbers 1–7","Concerto Grosso in G minor | numbers 1–7 | expressive syllables | Syncopation"
mcq,"What is ""NYC""?","New York City, specifically its urban geography, is the
  location where Salsa emerged (in East Harlem).","New York City, specifically its urban geography, is the
  location where Salsa emerged (in East Harlem). | Harmony built fundamentally on the notes of the established major or minor scale. | The use of a wide range of note values and patterns (e.g.,
  semiquavers, triplets) to maintain drive. | Playing notes that sound consonant or pleasing together."
mcq,"Which term means: ""New York City, specifically its urban geography, is the
  location where Salsa emerged (in East Harlem).""?","NYC","disjunct | NYC | pop and rock instruments | double stopping"
mcq,"What is ""oboe""?","A woodwind instrument, part of the woodwind section in the
  Baroque and Classical orchestras.","The individual who creates the musical work. | A sudden strong accent. | A woodwind instrument, part of the woodwind section in the
  Baroque and Classical orchestras. | A production effect (Music Production Technology) used to selectively alter sound frequencies, which is crucial in ED..."
mcq,"Which term means: ""A woodwind instrument, part of the woodwind section in the
  Baroque and Classical orchestras.""?","oboe","oboe | Silk | Contrast of Texture | rhythmic core"
mcq,"What is ""oboes""?","Plural form of oboe.","Explicit definition of homophonic texture. | Refers to Modulation; the intentional shift of the
  tonal center, fundamental to Classical structural forms like son... | Plural form of oboe. | Music written explicitly to express a national identity (e.g., Smetana’s Vltava)."
mcq,"Which term means: ""Plural form of oboe.""?","oboes","question | oboes | pedal note | rhythmic core"
mcq,"What is ""obsolete terminology""?","Terms such as ripieno, concertino, and basso
  continuo are considered obsolete for describing the standard Classical...","Refers to the material used in the construction of string
  instruments (e.g., erhu, pipa, yangqin) in Chinese ensemb... | Terms such as ripieno, concertino, and basso
  continuo are considered obsolete for describing the standard Classical... | Multiple performers (voices or instruments) playing or
  singing the exact same melodic line (or sometimes doubled in... | The climactic moment in EDM when tension is released,
  corresponding to the Drop."
mcq,"Which term means: ""Terms such as ripieno, concertino, and basso
  continuo are considered obsolete for describing the standard Classical
  ensemble structure.""?","obsolete terminology","Western classical tradition | sforzando | note values | obsolete terminology"
mcq,"What is ""octave doublings""?","A technique where parts are played simultaneously an
  octave apart. In Salsa, pianists use octave doublings to reinf...","Beats other than the main beats of the bar. Syncopation
  involves accents falling on off-beats. The anticipated bass... | Rhythmic and metrical patterns often used in dramatic scores. | A technique where parts are played simultaneously an
  octave apart. In Salsa, pianists use octave doublings to reinf... | A live performance format in EDM where an artist manipulates and mixes pre-recorded tracks, often involving real-time..."
mcq,"Which term means: ""A technique where parts are played simultaneously an
  octave apart. In Salsa, pianists use octave doublings to reinforce the
  harmonic progressio...""?","octave doublings","first subject | Schubert | octave doublings | Rondo Form"
mcq,"What is ""octaves""?","Intervals of an octave. Textures may include parts doubled
  in octaves to provide power.","An instrumental work, often comprised of movements in
  various dance forms (e.g., Baroque instrumental suite). | Intervals of an octave. Textures may include parts doubled
  in octaves to provide power. | An Electronic Dance Music (EDM) sub-genre characterized by a faster tempo range of 140 to 175 BPM. | The specific function of the Chorus audio effect, which layers slightly detuned versions of the source sound to creat..."
mcq,"Which term means: ""Intervals of an octave. Textures may include parts doubled
  in octaves to provide power.""?","octaves","M“nganiy”rs | narrative association | octaves | semiquaver"
mcq,"What is ""off-beats""?","Beats other than the main beats of the bar. Syncopation
  involves accents falling on off-beats. The anticipated bass...","The chorus section in Salsa music is known as the montuno.
  The term also describes the pattern played by pianists i... | The full spectrum of volume levels available to the composer or performer, greatly expanded in the Classical period (... | Beats other than the main beats of the bar. Syncopation
  involves accents falling on off-beats. The anticipated bass... | A common transposing instrument in the orchestra, for which candidates must be able to transpose parts to concert pitch."
mcq,"Which term means: ""Beats other than the main beats of the bar. Syncopation
  involves accents falling on off-beats. The anticipated bass pattern in Salsa
  emphasizes...""?","off-beats","off-beats | time a movie is set | orchestra pit | No. 5*"
mcq,"What is ""offbeat rhythms""?","Sounds falling on the second quaver of the beat,
  frequently layered into EDM tracks to increase momentum over the
 ...","Maintaining a steady, unchanging quality, essential for tempo in dance music to support the movement activity. | Sounds falling on the second quaver of the beat,
  frequently layered into EDM tracks to increase momentum over the
 ... | The specific K&ouml;chel catalogue number for Mozart's Focus Work, the Quintet for piano and winds in E flat major (M... | The title of Arcangelo Corelli’s Concerto Grosso in G
  minor, cited as a wider listening example for Baroque music."
mcq,"Which term means: ""Sounds falling on the second quaver of the beat,
  frequently layered into EDM tracks to increase momentum over the
  four-to-the-floor beat.""?","offbeat rhythms","offbeat rhythms | double-tracking | recitative | ya layli"
mcq,"What is ""one player per part""?","The defining characteristic of chamber music ensembles,
  meaning each musical line is played by a single musician.","The collective title of Vivaldi's violin concertos, of
  which Spring (Movement 1) is a Focus Work. | Intervals of an octave. Textures may include parts doubled
  in octaves to provide power. | An Electronic Dance Music (EDM) sub-genre characterized by a slower tempo range of 100 to 120 BPM. | The defining characteristic of chamber music ensembles,
  meaning each musical line is played by a single musician."
mcq,"Which term means: ""The defining characteristic of chamber music ensembles,
  meaning each musical line is played by a single musician.""?","one player per part","ff | pianissimo | one player per part | Ornamental complexity"
mcq,"What is ""Op 10. No 3""?","Abbreviation for Opus 10, No. 3, part of the title of
  Chopin’s &Eacute;tude in E, a wider listening example demonst...","The central foundational rhythm of a genre, such as the clavé
  in Salsa. | Abbreviation for Opus 10, No. 3, part of the title of
  Chopin’s &Eacute;tude in E, a wider listening example demonst... | A short, catchy, memorable melodic sequence of notes, crucial in popular song, musicals, and dance music. | A mnemonic syllable representing a low drum sound, used in verbalizing the beats of the iqa' (rhythmic mode) in Arabi..."
mcq,"Which term means: ""Abbreviation for Opus 10, No. 3, part of the title of
  Chopin’s &Eacute;tude in E, a wider listening example demonstrating Romantic
  piano music.""?","Op 10. No 3","Mass | song-like | conjunct | Op 10. No 3"
mcq,"What is ""Op. 15""?","Abbreviation for Opus 15, part of the title of Beethoven's
  Piano Concerto No. 1 in C.","Abbreviation for Opus 15, part of the title of Beethoven's
  Piano Concerto No. 1 in C. | Rare occurrences, such as the finding of chromatic harmony in Baroque music. | The historical development and change of a musical style or tradition, such as the evolution of the Tango genre. | Unmetred passages (like the Hindustani ālāp or Arabic taqsim) where the soloist plays freely and spontaneously."
mcq,"Which term means: ""Abbreviation for Opus 15, part of the title of Beethoven's
  Piano Concerto No. 1 in C.""?","Op. 15","figured bass | synthetic sounds | Drop | Op. 15"
mcq,"What is ""Op. 6""?","Abbreviation for Opus 6, part of the title for Handel's
  and Corelli's Concerto Grosso works.","A specialized string instrument essential to Salsa instrumentation. | Abbreviation for Opus 6, part of the title for Handel's
  and Corelli's Concerto Grosso works. | A key composer of the Classical period (c. 1750–1810),
  whose Quintet for piano and winds in E flat major, K. 452 is... | Instruments used for rhythmic emphasis or dramatic effect.
  Specific examples include timpani (kettle drums), bongos..."
mcq,"Which term means: ""Abbreviation for Opus 6, part of the title for Handel's
  and Corelli's Concerto Grosso works.""?","Op. 6","notation systems | pizzicato | Op. 6 | Nationalism"
mcq,"What is ""Op. 6 No. 8 “Christmas Concerto”*""?","The title of Arcangelo Corelli’s Concerto Grosso in G
  minor, cited as a wider listening example for Baroque music.","The title of Arcangelo Corelli’s Concerto Grosso in G
  minor, cited as a wider listening example for Baroque music. | A texture where several independent melodic lines are intricately woven together; synonymous with polyphonic. | A traditional musician group in the Hindustani tradition who performed for joyous occasions and celebrations (mangal). | A religious context for performance or composition, such
  as an Oratorio or Mass, typically performed in churches or..."
